Platform,WorkLoad,SubWorkLoad,SubWorkLoadScenario,Description,Action_Type,action_gesture,module_name,module_type,action_outcome,panel_type,action_scenario,action_scenario_type,action_subWorkLoad,thread_type,databag.rsvp,module_summary,target_thread_type,databag.meeting_rsvp,databag.is_toggle_on,databag.community_rsvp,main_entity_type,main_slot_app,eventInfo.identifier,databag.action_type,subNav_entity_type
Maglev,Collab Action,Meeting,Community event - Leave a community event by end for all,"In the meeting page,click on the leave dropdown and click end meeting",Secondary, press,,,display,Ubar interface,endMeetingOptions,callOrMeetup,,conference,,,Conference,,,,Conversations,Conversations,Select stop meeting options,,
Maglev,Collab Action,Meeting,Community event - Leave a community event by end for all,"In the meeting page,click on the leave dropdown and click end meeting and click end in the dioalog box",Secondary, press,End call confirmation,pushbutton,hang up,Ubar interface,confirmEndCall,exitDialogue,,conference,,,Conference,,,,Conversations,Conversations,End call confirmation,,
Maglev,Collab Action,Meeting,Community event - Leave a community event by end for all,"In the meeting page,click on the leave dropdown and click end meeting and click end in the dioalog box",Secondary, press,End call confirmation,pushbutton,hang up,Verify end call for all participants,confirmEndCall,exitDialogue,,,,,,,,,Conversations,Conversations,End call confirmation,,
Android,Collab action,Meeting,Community event - RSVP - Can't go,"Navigate to activity feature, select recent community event invite, click on RSVP, click on can't go option to capture this scenario",Primary,touch,RSVP option,pushbutton,choose,Complete meeting information page,chooseRSVPOptions,scheduleEntry,,meeting information,reject,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - RSVP - Can't go,"Go to the community event details via calendar or chat or post or through event page in community, Click on the button near Join and select ""Can't go"" ",Primary,touch,RSVP option,pushbutton,send,Complete session details,selectMeetingRsvpOption,scheduleEntry,,meeting information,,,,,,Reject,,,,,
IOS,Collab Action,Meeting,Community event - RSVP - Can't go,"Go to the community event details via calendar or chat or post or through event page in community, Click on the button near Join and select ""Can't go"" ",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - RSVP - Can't go,"In the communities tab,Click on the RSVP dropdown and click Can't go in the shown event",Primary, press,,,,Events loaded in communities,,,,,,,,,,,Group Events,Group App,Click,,Task
Web,Collab Action,Meeting,Community event - RSVP - Can't go,"In the communities tab,Click on the RSVP dropdown and click Can't go in the shown event",Primary,,Session operations,pushbutton,send,Primary schedule,RSVPForGroupEvent,meetingCalendarGrid,,,,,,,,,Group Events,Group App,Send group RSVP,Reject,Task
Android,Collab action,Meeting,Community event - RSVP - Going in,"Navigate to activity feature, select recent community event invite, click on RSVP, click on going option to capture this scenario",Primary,touch,RSVP option,pushbutton,display,Detailed meeting page,selectMeeting RsvpOptions,scheduleEntry,,session details,nothing,,,,,,,,,,
Android,Collab action,Meeting,Community event - RSVP - Going in,"Navigate to activity feature, select recent community event invite, click on RSVP, click on going option to capture this scenario",Secondary,touch,Event sharing promotion,pushbutton,display,Meeting promotion offer,offerUpsellAction,scheduleEntry,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - RSVP - Going in,"Go to the community event details via calendar or chat or post or through event page in community, Click on the button near Join and select ""Going on"" ",Primary,touch,RSVP option,pushbutton,send,Complete session details,selectMeetingRsvpOption,scheduleEntry,,meeting information,,,,,,Agree,,,,,
IOS,Collab Action,Meeting,Community event - RSVP - Going in,"Go to the community event details via calendar or chat or post or through event page in community, Click on the button near Join and select ""Going on"" ",Secondary,display,Event sharing enhancement,pushbutton,display,Event sharing promotion,upsellCTA,scheduleEntry,,meeting information,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - RSVP - Going in,"Go to the community event details via calendar or chat or post or through event page in community, Click on the button near Join and select ""Going on"" ",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - RSVP - Going in,"In the communities tab,Click on the RSVP dropdown and click going in the shown event",Primary, press,,,,Events loaded in communities,,,,,,,,,,,Group Events,Group App,Click,,Task
Web,Collab Action,Meeting,Community event - RSVP - Going in,"In the communities tab,Click on the RSVP dropdown and click going in the shown event",Primary, press,Session operations,pushbutton,send,Primary schedule,RSVPForGroupEvent,meetingCalendarGrid,,,,,,,,,Group Events,Group App,Send group RSVP,CollectiveRSVP,Task
Android,Collab action,Meeting,Community event - RSVP - May be,"Navigate to activity feature, select recent community event invite, click on RSVP, click on maybe option to capture this scenario",Primary,touch,RSVP option,pushbutton,choose,Complete meeting information page,chooseRSVPOptions,scheduleEntry,,meeting information,uncertain,,,,,,,,,,
Android,Collab action,Meeting,Community event - RSVP - May be,"Navigate to activity feature, select recent community event invite, click on RSVP, click on maybe option to capture this scenario",Secondary,touch,Event sharing enhancement,pushbutton,display,Meeting promotion offer,upsellCTA,scheduleEntry,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - RSVP - May be,"Go to the community event details via calendar or chat or post or through event page in community, Click on the button near Join and select ""May be"" ",Primary,touch,RSVP option,pushbutton,send,Complete session details,selectMeetingRsvpOption,scheduleEntry,,meeting information,,,,,,Uncertain,,,,,
IOS,Collab Action,Meeting,Community event - RSVP - May be,"Go to the community event details via calendar or chat or post or through event page in community, Click on the button near Join and select ""May be"" ",Secondary,display,Event sharing enhancement,pushbutton,display,Event sharing promotion,upsellCTA,scheduleEntry,,meeting information,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - RSVP - May be,"Go to the community event details via calendar or chat or post or through event page in community, Click on the button near Join and select ""May be"" ",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - RSVP - May be,"In the communities tab,Click on the RSVP dropdown and click May be in the shown event",Primary, press,,,,Events loaded in communities,,,,,,,,,,,Group Events,Group App,Click,,Task
Web,Collab Action,Meeting,Community event - RSVP - May be,"In the communities tab,Click on the RSVP dropdown and click May be in the shown event",Primary,,Session operations,pushbutton,send,Primary schedule,RSVPForGroupEvent,meetingCalendarGrid,,,,,,,,,Group Events,Group App,Send group RSVP,Uncertain,Task
Android,Collab action,Meeting,Meeting - Add a meeting to calendar,"Navigate to scheduled meeting chat, click on the add to calendar button to capture this scenario",Primary,touch,Add session to schedule,pushbutton,send,Messaging window,MessageMeeting ChicletAddToMyCalendar,navigation,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Add a meeting to calendar,"Go to the meeting chat and click on ""Add to Calendar"" button to add the meeting to calendar",Primary,touch,Add session chiclet to schedule,pushbutton,send,Messaging window,addMeetingToCalendarTile,navigation,,,,,,,,,,,,,
Maglev,Collab Action,Meeting,Meeting - Add a meeting to calendar,"In the meeting thread,click on the add to calendar button to add the particular meeting in calendar",Primary, press,,,call,Messaging interface,addScheduledMeetingToCalendar,scheduledMeetingTileEventCreated,ExpandableApp,conference,,,Conference,,,,Messages,Messaging,Add scheduled meeting to calendar,,Messaging
Android,Collab action,Meeting,Meeting - Cancel a meeting,"Click on the meeting scheduled in the calendar, navigate to the details section, click on the cancel event button to capture this scenario",Primary,automated,API workflow,planner,,Event calendar,restfulApiCall,restfulService,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Cancel a meeting,"Click on the meeting scheduled in the calendar, navigate to the details section, click on the cancel event button to capture this scenario",Secondary,touch,Cancel session menu option, option,send,,removeMeeting,scheduleEntry,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Cancel a meeting,"Go to the meeting details via calendar or chat, Click on ""Cancel event"" button to cancel the meeting",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Cancel a meeting,"Go to the meeting details via calendar or chat, Click on ""Cancel event"" button to cancel the meeting",Secondary,,List entry,,,Upcoming Meeting list,dragToReload,reload,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Cancel a meeting,"Go to the meeting details via calendar or chat, Click on ""Cancel event"" button to cancel the meeting",Primary,touch,Abort option,pushbutton,send,Complete meeting information page,terminateMeetingession,scheduleEntry,,meeting information,,Terminates meeting,,,,,,,,,
Maglev,Collab Action,Meeting,Meeting - Cancel a meeting,"In the calendar tab,click the meeting and fllowed by clicking edit option then cancel",Primary, press,Abort session button,pushbutton,send,,removeCalendarEvent,meetingCalendarEntry,,,,,,,,,Booking Form,Planner App,Delete calendar event cancel meeting,,
Maglev,Collab Action,Meeting,Meeting - Cancel a meeting,"In the calendar tab,click the meeting and fllowed by clicking edit option then cancel",Secondary, press,,,,Event scheduling form,,,,,,,,,,,Booking Form,Planner App,Click,,
Maglev,Collab Action,Meeting,Meeting - Cancel a meeting,"In the calendar tab,click the meeting and fllowed by clicking edit option then cancel",Secondary, press,Dismiss session,pushbutton,send,,exitEditSchedulingForm,closeMeetingDetails,,,,,,,,,Booking Form,Planner App,Dismiss meeting edit mode,,
Web,Collab Action,Meeting,Meeting - Cancel a meeting,"go to the calendar tab, select the scheduled  meeting, click on the edit button, and then choose the option to cancel the meeting",Secondary, press,Dismiss session,pushbutton,send,,exitEditSchedulingForm,closeMeetingDetails,,,,,,,,,Booking Form,Planner App,Dismiss meeting edit mode,,
Web,Collab Action,Meeting,Meeting - Cancel a meeting,"go to the calendar tab, select the scheduled  meeting, click on the edit button, and then choose the option to cancel the meeting",Secondary, press,Open calendar,pushbutton,information,Primary schedule,loadCalendar,loadMeetingCalendar,,,,,,,,,Planner,Planner App,View calendar,,
Web,Collab Action,Meeting,Meeting - Cancel a meeting,"go to the calendar tab, select the scheduled  meeting, click on the edit button, and then choose the option to cancel the meeting",Primary, press,Terminate session button,,send,Ubar interface,endCurrentMeeting,callOrMeetup,,conference,,,Conference,,,,Conversations,Conversations,Stop meeting,,
Web,Collab Action,Meeting,Meeting - Click on meeting id,"In the calendar tab,click on the # Join with an ID option  and enter the meeting id to join the meet",Secondary, press,Enter session using code,pushbutton,attend meeting,,enterMeetingViaCode,gathering,,,,,,,,,Planner,Planner App,Join meeting via code,,
Web,Collab Action,Meeting,Meeting - Click on meeting id,"In the calendar tab,click on the # Join with an ID option  and enter the meeting id to join the meet",Primary, press,Enter session using code,pushbutton,send,Primary schedule,enterMeetingViaCode,gathering,,,,,,,,,Planner,Planner App,Join meeting via code,,
Android,Collab action,Meeting,Meeting - Create a meeting,"Navigate to the calendar feature, then click on Schedule an Event option, schedule a meeting, and click the checkmark button to capture this scenario",Primary,touch,Save new session,pushbutton,send,New event scheduling,storeNewMeeting,scheduleEntry,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Create a meeting,"Navigate to the calendar feature, then click on Schedule an Event option, schedule a meeting, and click the checkmark button to capture this scenario",Secondary,automated,API workflow,planner,,Event calendar,restfulApiCall,restfulService,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Create a meeting,"Go to ""Calendar"" tab, Click on the timeframe you want the meeting to be scheduled, Enter the details of the meeting, Click on ""Done"" to create a meeting",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Create a meeting,"Go to ""Calendar"" tab, Click on the timeframe you want the meeting to be scheduled, Enter the details of the meeting, Click on ""Done"" to create a meeting",Secondary,,List entry,,,Upcoming Meeting list,dragToReload,reload,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Create a meeting,"Go to ""Calendar"" tab, Click on the timeframe you want the meeting to be scheduled, Enter the details of the meeting, Click on ""Done"" to create a meeting",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Create a meeting,"Go to ""Calendar"" tab, Click on the timeframe you want the meeting to be scheduled, Enter the details of the meeting, Click on ""Done"" to create a meeting",Primary,touch,Save new session button,pushbutton,send,Schedule a new event,storeNewMeeting,schedule,,,,Schedules new meeting,,,,,,,,,
Maglev,Collab Action,Meeting,Meeting - Create a meeting,"In the calendar tab, click the time frame and schedule a meet and save",Primary, press,Plan session button,pushbutton,send,,createCalendarEvent,createOrUpdateMeeting,,,,,,,,,Booking Form,Planner App,Create new meeting,,
Maglev,Collab Action,Meeting,Meeting - Create a meeting,"In the calendar tab, click the time frame and schedule a meet and save",Secondary, press,Exit button,pushbutton,close window,,closeShareLinkDialog,meetingCalendarShareDialogue,,,,,,,,,Booking Form,Planner App,Close calendar share link dialog,,
Maglev,Collab Action,Meeting,Meeting - Create a meeting,"In the calendar tab, click the time frame and schedule a meet and save",Secondary, press,Dismiss session,pushbutton,send,,exitNewSchedulingForm,closeMeetingDetails,,,,,,,,,Booking Form,Planner App,Dismiss meeting create mode,,
Maglev,Collab Action,Meeting,Meeting - Create a meeting,"In the calendar tab, click the time frame and schedule a meet and save",Secondary, press,Open calendar,pushbutton,information,Primary schedule,loadCalendar,loadMeetingCalendar,,,,,,,,,Planner,Planner App,View calendar,,
Web,Collab Action,Meeting,Meeting - Create a meeting,"In the calendar tab, click the time frame and schedule a meet and save",Primary, press,Plan session button,pushbutton,send,,createCalendarEvent,createOrUpdateMeeting,,,,,,,,,Booking Form,Planner App,Create new meeting,,
Android,Collab action,Meeting,Meeting - Edit a meeting,"Click on the meeting scheduled in the calendar, navigate to the details section, select the edit option, and then click the checkmark button to capture this scenario",Primary,automated,API workflow,planner,,Event calendar,restfulApiCall,restfulService,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Edit a meeting,"Click on the meeting scheduled in the calendar, navigate to the details section, select the edit option, and then click the checkmark button to capture this scenario",Secondary,touch,Save session changes,pushbutton,send,Modify event details,updateMeeting,scheduleEntry,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Edit a meeting,"Go to the meeting details via calendar or chat, Click on the pencil button in the tpo right cornor to edit, Click on ""Done"" button to save the changes",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Edit a meeting,"Go to the meeting details via calendar or chat, Click on the pencil button in the tpo right cornor to edit, Click on ""Done"" button to save the changes",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Edit a meeting,"Go to the meeting details via calendar or chat, Click on the pencil button in the tpo right cornor to edit, Click on ""Done"" button to save the changes",Secondary,,RESTful API workflow,,,Event calendar,apiUserRequest,,,planner,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Edit a meeting,"Go to the meeting details via calendar or chat, Click on the pencil button in the tpo right cornor to edit, Click on ""Done"" button to save the changes",Primary,touch,Save edited session,pushbutton,send,Modify event details,updateMeeting,schedule,,,,Modifies meeting,,,,,,,,,
Maglev,Collab Action,Meeting,Meeting - Edit a meeting,"In the calendar tab,click on the schedule meet, it will give popover page,click the edit option",Primary, press,Plan session button,pushbutton,send,,refreshCalendarEvent,createOrUpdateMeeting,,,,,,,,,Booking Form,Planner App,Update meeting schedule,,
Web,Collab Action,Meeting,Meeting - Edit a meeting,"Navigate to the calendar tab, select the scheduled meeting, click on the edit button, make the desired changes, and then click ""Send Update""",Primary, press,Plan session button,pushbutton,send,,refreshCalendarEvent,createOrUpdateMeeting,,,,,,,,,Booking Form,Planner App,Update meeting schedule,,
Web,Collab Action,Meeting,Meeting - Edit a meeting,"Navigate to the calendar tab, select the scheduled meeting, click on the edit button, make the desired changes, and then click ""Send Update""",Secondary, press,Dismiss session,pushbutton,send,,exitEditSchedulingForm,closeMeetingDetails,,,,,,,,,Booking Form,Planner App,Dismiss meeting edit mode,,
Web,Collab Action,Meeting,Meeting - Edit a meeting,"Navigate to the calendar tab, select the scheduled meeting, click on the edit button, make the desired changes, and then click ""Send Update""",Secondary, press,Open calendar,pushbutton,information,Primary schedule,loadCalendar,loadMeetingCalendar,,,,,,,,,Planner,Planner App,View calendar,,
Android,Collab action,Meeting,Meeting - Inviting people inside a meeting,"Inside the meeting, click on the 3 dots, then click on people button to capture this scenario",Primary,touch,Include participants in chat,pushbutton,send,Messaging window,addMessageToChat,initiateChat,,confidential meeting,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"Join a meeting, Click on the 3 dot button, Click on ""People"" button and add new people to a meeting",Secondary,touch,Select participants,pushbutton,send,Active session or call,addMembersToSession,sessionOrMeeting,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"Join a meeting, Click on the 3 dot button, Click on ""People"" button and add new people to a meeting",Primary,touch,Confirm addition to chat,pushbutton,send,Messaging window,startChat,confirmChatAddition,,group conversation,,Confirms participant addition,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"Join a meeting, Click on the 3 dot button, Click on ""People"" button and add new people to a meeting",Secondary,touch,People selection activated,,navigation,Abort option,includePeopleInMeeting,dismissPeopleSelector,,,,,,,,,,,,,
Maglev,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"In the meeting page, click on people feature and search for the partcipant and click Request to join to invite people",Primary, press,Add participants,,display,Ubar interface,addPersonToCall,callOrMeetup,,conference,,,Conference,,,,Conversations,Conversations,Add participant to call,,
Maglev,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"In the meeting page, click on people feature and search for the partcipant and click Request to join to invite people",Secondary, press,,,,Participants panel,,,,conference,,,Conference,,,,Conversations,Conversations,Click,,
Maglev,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"In the meeting page, click on people feature and search for the partcipant and click Request to join to invite people",Secondary, press,,,,Participants panel,,,,,,,,,,,Conversations,Conversations,Click,,
Maglev,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"In the meeting page, click on people feature and search for the partcipant and click Request to join to invite people",Secondary,keystroke,Search for roster participants,,participant search updated,Participants panel,startRosterSearch,participantSearchInRoster,,,,,,,,,Conversations,Conversations,Initiate participant search in roster,,
Maglev,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"In the meeting page, click on people feature and search for the partcipant and click Request to join to invite people",Secondary,keystroke,Search for roster participants,,participant search updated,Participants panel,startRosterSearch,participantSearchInRoster,,,,,,,,,Conversations,Conversations,Initiate participant search in roster,,
Maglev,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"In the meeting page, click on people feature and search for the partcipant and click Request to join to invite people",Secondary, press,Add participant from search,,navigation,Participants search interface,promptParticipantFromSearch,,,conference,,,Conference,,,,Conversations,Conversations,Add participant from search,,
Maglev,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"In the meeting page, click on people feature and search for the partcipant and click Request to join to invite people",Secondary, press,Add participant from search,,navigation,Participants search interface,promptParticipantFromSearch,,,,,,,,,,Conversations,Conversations,Add participant from search,,
Web,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"Join the meeting and go to the ""People"" menu. Click on it, search for the participant's name, and send a request for them to join.",Primary, press,Add participant from search,,navigation,Participants search interface,promptParticipantFromSearch,,,conference,,,Conference,,,,Conversations,Conversations,Add participant from search,,
Web,Collab Action,Meeting,Meeting - Inviting people inside a meeting,"Join the meeting and go to the ""People"" menu. Click on it, search for the participant's name, and send a request for them to join.",Secondary, press,Add participant from search,,navigation,Participants search interface,promptParticipantFromSearch,,,,,,,,,,Conversations,Conversations,Add participant from search,,
Maglev,Collab Action,Meeting,Meeting - Join a meeting through activity tab," Join the community meet by clicking the activity tab, it will navigate the page to join the event by clicking join",Primary,automatic,Initial app theme,,,Application theme,appInitialTheme,initialAppTheme,,,,,,,,,Conversations,Conversations,Auto apply start theme,,
Maglev,Collab Action,Meeting,Meeting - Join a meeting through activity tab," Join the community meet by clicking the activity tab, it will navigate the page to join the event by clicking join",Secondary, press,,,,Events loaded in communities,,,,,,,,,,,Group Events,Group App,Click,,Task
Web,Collab Action,Meeting,Meeting - Join a meeting through calendar,Join the event from the calendar tab by clicking join button,Primary, press,Join session button,,attend meeting,Dialing screen,connectFromPreJoinScreen,preSession,,,,,,,,,Conversations,Conversations,Join meeting pre-join screen,,
Android,Collab action,Meeting,Meeting - Join a meeting through calendar,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantJoin,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through calendar,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Primary,,Session joined successfully,display,,Display screen,meeting Join,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through calendar,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Secondary,,,display,,,enterMeeting,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through calendar,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Secondary,touch,Session join category,conferences,,Enter meeting,internalMeetingConnection,internalSessionLinks,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through calendar,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Secondary,touch,Confidential meeting,pushbutton,send,Universal button,webinarParticipantEntry,webinarParticipantEntry,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through calendar,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,joinMeetingWithDialIn,sessionOrMeeting,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Join a meeting through calendar,"Go to ""Calendar"" tab, Click on ""Join"" in the scheduled meeting, click on ""Join Now"" to join the meeting",Primary,touch,Enter now without details,pushbutton,send,Pre-meeting interface,instantJoinNoDetails,sessionOrMeeting,,confidential meeting,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Join a meeting through calendar,"Go to ""Calendar"" tab, Click on ""Join"" in the scheduled meeting, click on ""Join Now"" to join the meeting",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantJoin,sessionOrMeeting,,confidential meeting,,,,,,,,,,,
Maglev,Collab Action,Meeting,Meeting - Join a meeting through calendar,"Go to the calendar tab,join the meet which is scheduled",Secondary,automatic,Initial app theme,,,Application theme,appInitialTheme,initialAppTheme,,,,,,,,,Conversations,Conversations,Auto apply start theme,,
Maglev,Collab Action,Meeting,Meeting - Join a meeting through calendar,"Go to the calendar tab,join the meet which is scheduled",Primary, press,Join from chat header,pushbutton,send,Messaging interface,joinFromChat,gathering,,conference,,,Conference,,,,Messages,Messaging,Join meeting from chat,,Messaging
Android,Collab action,Meeting,Meeting - Join a meeting through chat,"After clicking the join button from meeting chat, click the Join Now button to capture this scenario",Secondary,touch,Session join category,conferences,,Enter meeting,internalJoinMeeting,internalJoinSessions,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through chat,"After clicking the join button from meeting chat, click the Join Now button to capture this scenario",Secondary,touch,Confidential meeting,pushbutton,send,Universal button,webinarAttendeeConnection,webinarParticipantEntry,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through chat,"After clicking the join button from meeting chat, click the Join Now button to capture this scenario",Primary,touch,,,navigation,Active call or gathering,additionalSettings,connectToSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through chat,"After clicking the join button from meeting chat, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,connectViaDialIn,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through chat,"After clicking the join button from meeting chat, click the Join Now button to capture this scenario",Secondary,,Session joined successfully,display,,Display screen,enterMeeting,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through chat,"After clicking the join button from meeting chat, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,immediateJoinMeeting,sessionOrMeeting,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Join a meeting through chat,"Go to ""Chat"" tab, Enter the particular chat for a scheduled meeting, Click on ""Join"" in the top of the chat, click on ""Join Now"" to join the meeting",Primary,touch,Enter now without details,pushbutton,send,Pre-meeting interface,instantJoinNoDetails,sessionOrMeeting,,confidential meeting,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Join a meeting through chat,"Go to ""Chat"" tab, Enter the particular chat for a scheduled meeting, Click on ""Join"" in the top of the chat, click on ""Join Now"" to join the meeting",Secondary,,Session join logs,,,Meeting entry flow,tfw_meeting_joins,externalTrackingLink,,conference,,,,,,,,,,,
IOS,Collab Action,Meeting,Meeting - Join a meeting through chat,"Go to ""Chat"" tab, Enter the particular chat for a scheduled meeting, Click on ""Join"" in the top of the chat, click on ""Join Now"" to join the meeting",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantJoin,sessionOrMeeting,,confidential meeting,,,,,,,,,,,
Web,Collab Action,Meeting,Meeting - Join a meeting through chat,"In the Meeting thread, click on the join in the shown event and then click join now in the prejoin screen",Primary, press,Join session button,,attend meeting,Dialing screen,connectFromPreJoinScreen,preSession,,,,,,,,,Conversations,Conversations,Join meeting pre-join screen,,
Android,Collab action,Meeting,Meeting - Join a meeting through Communityforyou,"After clicking the join button from for you feature, click the Join Now button to capture this scenario",Secondary,touch,Session join category,conferences,,Enter meeting,internalJoinMeeting,internalJoinSessions,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through Communityforyou,"After clicking the join button from for you feature, click the Join Now button to capture this scenario",Primary,touch,Confidential meeting,pushbutton,send,Universal button,webinarAttendeeConnection,webinarParticipantEntry,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through Communityforyou,"After clicking the join button from for you feature, click the Join Now button to capture this scenario",Secondary,touch,,,navigation,Active call or gathering,additionalSettings,connectToSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through Communityforyou,"After clicking the join button from for you feature, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,connectViaDialIn,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through Communityforyou,"After clicking the join button from for you feature, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,connectViaDialIn,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through Communityforyou,"After clicking the join button from for you feature, click the Join Now button to capture this scenario",Secondary,touch,Enter now,pushbutton,send,Pre-meeting interface,immediateJoinMeeting,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through Communityforyou,"After clicking the join button from for you feature, click the Join Now button to capture this scenario",Secondary,,Session joined successfully,display,,Display screen,enterMeeting,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through invite link,"After clicking the shared invite link, click the Join Now button to capture this scenario",Secondary,touch,Confidential meeting,pushbutton,send,Universal button,webinarParticipantJoin,webinarParticipantEntry,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through invite link,"After clicking the shared invite link, click the Join Now button to capture this scenario",Secondary,touch,,,navigation,Active call or gathering,additionalSettings,connectToSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through invite link,"After clicking the shared invite link, click the Join Now button to capture this scenario",Secondary,touch,,,navigation,Active call or gathering,anonymousB2BUserMeeting,sessionParticipant,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join a meeting through invite link,"After clicking the shared invite link, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantDialInMeeting,sessionOrMeeting,,,,,,,,,,,,,
